Saving file... detailDownsampled.csv
Saving file... detailVolDownsampled.csv
Saving file... detailTempDownsampled.csv
         9069802 function calls (8944310 primitive calls) in 11.970 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.089    0.004 <__array_function__ internals>:2(concatenate)
       23    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1002(_find_and_load)
    20924    0.036    0.000    0.045    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:659(_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:1309(_get_spec)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:1341(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:1438(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:781(create_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:784(exec_module)
        3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:80(_path_stat)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:856(get_code)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:976(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        6    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.021    0.021   11.970   11.970 <string>:1(<module>)
        6    0.000    0.000    0.000    0.000 <string>:2(__init__)
  117/114    0.000    0.000    0.001    0.000 _asarray.py:23(asarray)
       20    0.000    0.000    0.001    0.000 _asarray.py:293(require)
       20    0.000    0.000    0.000    0.000 _asarray.py:382(<setcomp>)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:283(__subclasshook__)
       24    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:362(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:381(__subclasshook__)
       97    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
       21    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
    20917    0.014    0.000    0.014    0.000 _dtype.py:24(_kind_name)
    20917    0.016    0.000    0.016    0.000 _dtype.py:307(_name_includes_bit_suffix)
    20917    0.068    0.000    0.101    0.000 _dtype.py:321(_name_get)
        6    0.000    0.000    0.000    0.000 _methods.py:53(_any)
        6    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        6    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        3    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__init__)
        3    0.000    0.000    0.000    0.000 _ufunc_config.py:433(__enter__)
        3    0.000    0.000    0.000    0.000 _ufunc_config.py:438(__exit__)
   181/22    0.000    0.000    0.001    0.000 abc.py:100(__subclasscheck__)
   104316    0.057    0.000    0.127    0.000 abc.py:96(__instancecheck__)
        6    0.000    0.000    0.021    0.004 base.py:1041(_format_native_types)
       15    0.000    0.000    0.000    0.000 base.py:1232(name)
       12    0.000    0.000    0.000    0.000 base.py:1239(name)
        6    0.000    0.000    0.000    0.000 base.py:1963(is_object)
        6    0.000    0.000    0.000    0.000 base.py:2134(_is_all_dates)
     21/9    0.001    0.000    0.003    0.000 base.py:250(__new__)
   104965    0.116    0.000    0.524    0.000 base.py:254(is_dtype)
        3    0.000    0.000    0.000    0.000 base.py:3314(_validate_positional_slice)
        6    0.000    0.000    0.000    0.000 base.py:381(<genexpr>)
        3    0.000    0.000    0.000    0.000 base.py:397(ndim)
       24    0.000    0.000    0.000    0.000 base.py:4070(_values)
   167402    0.195    0.000    0.287    0.000 base.py:411(find)
        9    0.000    0.000    0.000    0.000 base.py:425(_simple_new)
       46    0.000    0.000    0.000    0.000 base.py:4279(__getitem__)
        9    0.000    0.000    0.001    0.000 base.py:4393(equals)
        3    0.000    0.000    0.000    0.000 base.py:4472(identical)
        6    0.000    0.000    0.000    0.000 base.py:4485(<genexpr>)
        9    0.000    0.000    0.000    0.000 base.py:5296(_validate_indexer)
        9    0.000    0.000    0.000    0.000 base.py:532(is_)
       21    0.000    0.000    0.000    0.000 base.py:563(_reset_identity)
    20892    0.013    0.000    0.020    0.000 base.py:5836(ensure_index)
        3    0.000    0.000    0.000    0.000 base.py:5947(default_index)
    20883    0.020    0.000    0.043    0.000 base.py:5953(maybe_extract_name)
        9    0.000    0.000    0.000    0.000 base.py:5969(_maybe_cast_with_dtype)
    83388    0.048    0.000    0.066    0.000 base.py:600(__len__)
        9    0.000    0.000    0.000    0.000 base.py:6023(_maybe_cast_data_without_dtype)
        6    0.000    0.000    0.000    0.000 base.py:606(__array__)
        9    0.000    0.000    0.000    0.000 base.py:623(dtype)
        3    0.000    0.000    0.000    0.000 base.py:796(__iter__)
        9    0.000    0.000    0.000    0.000 blocks.py:114(_simple_new)
    20868    0.096    0.000    0.211    0.000 blocks.py:127(__init__)
       15    0.000    0.000    0.000    0.000 blocks.py:147(_maybe_coerce_values)
    20868    0.017    0.000    0.017    0.000 blocks.py:161(_check_ndim)
        3    0.000    0.000    0.048    0.016 blocks.py:2093(to_native_types)
    20835    0.006    0.000    0.006    0.000 blocks.py:222(external_values)
       15    0.000    0.000    0.000    0.000 blocks.py:233(internal_values)
    20853    0.017    0.000    0.026    0.000 blocks.py:2515(_maybe_coerce_values)
    83418    0.027    0.000    0.027    0.000 blocks.py:265(mgr_locs)
    20914    0.159    0.000    0.991    0.000 blocks.py:2672(get_block_type)
